epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,4918.84,0.90137,0.39715,0.1184,0.82707,0.65748,0.66144,0.36081,0.99348,0.45273,0.21017,0.0005941,0.0005941,0.0005941
43,4981.26,0.90566,0.39705,0.12381,0.82958,0.66773,0.66762,0.37927,0.98311,0.45246,0.20442,0.0005842,0.0005842,0.0005842
44,5305.86,0.89491,0.39782,0.11357,0.79861,0.66384,0.66439,0.3745,0.9621,0.46564,0.19924,0.0005743,0.0005743,0.0005743
45,5407.47,0.86151,0.39323,0.12631,0.80695,0.67294,0.66283,0.38968,0.95495,0.4601,0.18593,0.0005644,0.0005644,0.0005644
46,5466.99,0.87412,0.40185,0.11427,0.80887,0.65736,0.65445,0.36902,0.99395,0.44878,0.19831,0.0005545,0.0005545,0.0005545
47,5523.8,0.84367,0.40387,0.11159,0.8142,0.65567,0.66154,0.36916,0.97629,0.45225,0.19026,0.0005446,0.0005446,0.0005446
48,5622.9,0.90696,0.3835,0.12611,0.82704,0.67384,0.67412,0.38112,0.97177,0.46474,0.19981,0.0005347,0.0005347,0.0005347
49,5689.22,0.87947,0.38592,0.11701,0.8239,0.66301,0.67091,0.39233,0.97082,0.47418,0.19273,0.0005248,0.0005248,0.0005248
50,5763.41,0.87447,0.38774,0.11107,0.83251,0.6451,0.66971,0.36636,0.96871,0.46191,0.19295,0.0005149,0.0005149,0.0005149
51,5826.61,0.85165,0.39112,0.12054,0.83136,0.65543,0.663,0.39069,0.96425,0.46928,0.18603,0.000505,0.000505,0.000505
52,5885.11,0.87467,0.38465,0.12183,0.83137,0.66268,0.67083,0.40031,0.99385,0.4652,0.20946,0.0004951,0.0004951,0.0004951
53,6010,0.88204,0.38625,0.12482,0.82809,0.67707,0.67497,0.39029,0.98356,0.45894,0.2143,0.0004852,0.0004852,0.0004852
54,6160.23,0.82876,0.38677,0.10208,0.82032,0.68286,0.67721,0.39996,0.9707,0.46804,0.19949,0.0004753,0.0004753,0.0004753
55,6367.75,0.85899,0.38432,0.11269,0.8204,0.65934,0.66525,0.34444,0.99815,0.45692,0.21159,0.0004654,0.0004654,0.0004654
56,6455.98,0.83779,0.38517,0.09228,0.84302,0.65815,0.66994,0.3572,0.98958,0.46834,0.18384,0.0004555,0.0004555,0.0004555
57,6524.91,0.85287,0.38319,0.10921,0.80514,0.66857,0.66667,0.35641,0.99482,0.47174,0.19511,0.0004456,0.0004456,0.0004456
58,6589.91,0.863,0.38694,0.11668,0.83732,0.66645,0.6748,0.36411,0.97571,0.46752,0.20096,0.0004357,0.0004357,0.0004357
59,6664.31,0.83912,0.38752,0.11332,0.83346,0.68103,0.67973,0.39504,0.9782,0.47217,0.20537,0.0004258,0.0004258,0.0004258
60,6727.6,0.82939,0.3756,0.10582,0.84303,0.6713,0.68224,0.3961,0.97346,0.47491,0.20946,0.0004159,0.0004159,0.0004159
61,6782.78,0.82097,0.38123,0.11536,0.82852,0.68516,0.68293,0.39137,0.95332,0.47748,0.18848,0.000406,0.000406,0.000406
62,6870.55,0.85404,0.3882,0.11697,0.82442,0.66726,0.67356,0.38407,0.96052,0.49847,0.20134,0.0003961,0.0003961,0.0003961
63,6932.24,0.81517,0.40117,0.11094,0.8078,0.67544,0.67526,0.38312,0.97184,0.4784,0.20608,0.0003862,0.0003862,0.0003862
64,6998.68,0.8285,0.40156,0.10653,0.81118,0.66658,0.66344,0.38252,0.93891,0.48091,0.1802,0.0003763,0.0003763,0.0003763
65,7069.68,0.84719,0.39379,0.11079,0.84052,0.6732,0.6806,0.40226,0.95219,0.4784,0.19605,0.0003664,0.0003664,0.0003664
66,7152,0.83316,0.38172,0.11432,0.82853,0.68018,0.67573,0.39854,0.9491,0.47126,0.17085,0.0003565,0.0003565,0.0003565
67,7295.68,0.82212,0.38508,0.10389,0.82749,0.68176,0.67549,0.3946,0.95192,0.47673,0.1791,0.0003466,0.0003466,0.0003466
68,7365.06,0.80136,0.37995,0.09804,0.85199,0.67978,0.68348,0.40526,0.95159,0.46909,0.1876,0.0003367,0.0003367,0.0003367
69,7432.83,0.84888,0.37414,0.1163,0.83696,0.68057,0.67912,0.408,0.94182,0.47554,0.1818,0.0003268,0.0003268,0.0003268
70,7502.76,0.8114,0.37687,0.10582,0.84789,0.68314,0.68169,0.4087,0.95545,0.46926,0.19103,0.0003169,0.0003169,0.0003169
71,7558.43,0.83283,0.38748,0.11102,0.83114,0.68099,0.67205,0.40781,0.94974,0.48179,0.18395,0.000307,0.000307,0.000307
72,7657.65,0.83612,0.37527,0.10669,0.82438,0.67761,0.67622,0.39288,0.94732,0.47798,0.19079,0.0002971,0.0002971,0.0002971
73,7721.71,0.83518,0.3744,0.10236,0.82599,0.68253,0.67604,0.40853,0.93919,0.49172,0.18407,0.0002872,0.0002872,0.0002872
74,7786.55,0.82737,0.37435,0.09903,0.8353,0.69222,0.68267,0.40644,0.95655,0.47423,0.19064,0.0002773,0.0002773,0.0002773
75,7848.53,0.81605,0.38359,0.10568,0.84245,0.67596,0.6807,0.41497,0.95464,0.47214,0.19248,0.0002674,0.0002674,0.0002674
76,7913.17,0.81143,0.38053,0.10791,0.83622,0.67283,0.67293,0.40926,0.95106,0.48869,0.18531,0.0002575,0.0002575,0.0002575
77,7974.34,0.76948,0.38233,0.09448,0.8507,0.68274,0.68161,0.41553,0.94026,0.48278,0.18215,0.0002476,0.0002476,0.0002476
78,8043.8,0.81443,0.37427,0.1075,0.84616,0.67965,0.67728,0.39879,0.96263,0.48029,0.20282,0.0002377,0.0002377,0.0002377
79,8123.76,0.7863,0.37597,0.09944,0.84796,0.68109,0.68227,0.408,0.93309,0.49185,0.18055,0.0002278,0.0002278,0.0002278
80,8185.44,0.8117,0.37147,0.10915,0.8208,0.68811,0.68324,0.40867,0.94894,0.49017,0.20926,0.0002179,0.0002179,0.0002179
